HLA-A	1	6	29910331	29910403
HLA-A	2	6	29910534	29910803
HLA-A	3	6	29911045	29911320
HLA-A	4	6	29911899	29912174
HLA-B	1	6	31324863	31324935
HLA-B	2	6	31324465	31324734
HLA-B	3	6	31323944	31324219
HLA-B	4	6	31323094	31323369
HLA-C	1	6	31239776	31239848
HLA-C	2	6	31239376	31239645
HLA-C	3	6	31238850	31239125
HLA-C	4	6	31237987	31238262
HLA-DQA1	1	6	32605236	32605317
HLA-DQA1	2	6	32609087	32609335
HLA-DQA1	3	6	32609749	32610030
HLA-DQA1	4	6	32610387	32610541
HLA-DQB1	1	6	32634276	32634384
HLA-DQB1	2	6	32632575	32632844
HLA-DQB1	3	6	32629744	32630025
HLA-DQB1	4	6	32629124	32629234
HLA-DRB1	2	6	32551886	32552155
